artist,lyric
awol,"16 contributorsblind fold lyrics[intro]
i just love to hustle
ayy
i don't know why
(let the band play)
take this shit however it come, man
the most proud of that shit get a whole lot more of that shit, keep goin', ha
(ayo, bandplay)

[chorus]
saw my boy lil' bruh, he said, ""dolph, you know how it go"" (ayy)
we can't win 'em all, but we still at the top though (top, woah)
i go and buy a new chain every time i drop, ho (ho)
you signed all them deals, but ain't got what i got though (no)
in that drop, ho (ho), dodgin' potholes (skrrt)
blame my cousin (why?), he shouldn't have never let me watch blow (damn)
talkin' pesos with my 'migo, eatin' tacos (ocho, nueve)
count a million backwards, wearin' a blindfold (hey)

[verse 1]
countin', keep countin', keep countin' and countin', keep countin' and countin' and countin' (ayy, add it up)
diamonds keep shinin' and hittin' and blindin' and shinin' and shinin' and shinin' (ball)
this quarter million dollar piece of shit on my arm, it say that it's perfect timin' (ball)
different car for every day of the week, but i don't even got time to drive 'em (ball)
put both of my hands on the bible (yeah)
lately, i've been gettin' higher (yeah)
playin' with that check since a minor (yeah)
you the seller or the buyer? (both of 'em)
pat that nigga down, i don't give a fuck, make sure he ain't wearin' no wire (fuck him)
i'm headed to china (i'm on the way)
rollin' up the best weed in the whole world, but i ain't got no lighter (god damn)
name a nigga flyer (yeah, yeah)
lil' nigga, i'll buy you (yeah, yeah)
niggas all in they feelings, actin' like they on they cycle (i swear)
you the realest nigga in the world until you tell 'em, ""nah,"" now they don't like you


[chorus]
saw my boy lil' bruh, he said, ""dolph, you know how it go"" (ayy)
we can't win 'em all, but we still at the top though (top, woah)
i go and buy a new chain every time i drop, ho (ho)
you signed all them deals, but ain't got what i got though (no)
in that drop, ho (ho), dodgin' potholes (skrrt)
blame my cousin (why?), he shouldn't have never let me watch blow (damn)
talkin' pesos with my 'migo, eatin' tacos (ocho, nueve)
count a million backwards, wearin' a blindfold (hey)

[verse 2]
run it through the money machine, then count it by hand (yeah, yeah)
found out that your baby mama my number one fan (okay)
boujee black nigga layin' in the sun, 'bout to get me a tan (it's dolph)
my california bitch don't like to work, ship her some vans (damn)
off the wall (off the wall)
fuck all of y'all (all of y'all)
you and your dogs (all of y'all)
your bitch call me biggie and she call you small (ayy, ayy)
she drop everything she doin' when i call
hmm, ayy, count a milli' billzos with a blindfold (blindfold)
you makin' love, nigga, you fucked her with your eyes closed (ha)
a multi-millionaire, talkin' 'bout he in grind mode (run it up)
i'm 'cross the country, trappin' in three different time zones
it's dolph


[chorus]
saw my boy lil' bruh, he said, ""dolph, you know how it go"" (ayy)
we can't win 'em all, but we still at the top though (top, woah)
i go and buy a new chain every time i drop, ho (ho)
you signed all them deals, but ain't got what i got though (no)
in that drop, ho (ho), dodgin' potholes (skrrt)
blame my cousin (why?), he shouldn't have never let me watch blow (damn)
talkin' pesos with my 'migo, eatin' tacos (ocho, nueve)
count a million backwards, wearin' a blindfold (hey)"
awol,"1 contributorapollo lyrics[intro]

[man 1]
living 14,000 years didn't make me a genius, i just. had. time.

[man 2]
(time...)
you can't see it, you can't hear it, you can't weigh it, you can't.. measure it in a laboratory...

it is a seductive sense of becoming what we are, instead of what we were a nanosecond ago, becoming what we will be in another nanosecond.

the hopis see time as a landscape, existing before and behind us. and we move– we move through it, slice by slice.

[woman]
clocks measure time..

[man 2]
no, they measure themselves. the objective reference of a clock is another clock.

[woman]
how very interesting, what has it got to do with john?

[man 2]
oh, he–he might be a man who lives outside of time as we know it.”

[instrumental]"
awol,"2 contributorsthis world is coming to an end lyrics[verse 1]
just accept and follow
the truth lies within your hands
this transcript is misleading
offer yourself now a dying man

[bridge]
an underground sense of fear
with blind control upon us
we have to fight and welcome this ray of light
to make light of the innocent
symbolic and seething
to make light of the innocent

[verse 2]
endeavors from this cruel existence
with unperceptive hate
walking through a secret passage
what have we found?

[chorus]
this world is coming to an end
this world is going to die
we are all responsible
this world is coming to an end
this world is going to die
we are all responsible


[bridge]
an underground sense of fear
with blind control upon us
we have to fight and welcome this ray of light
a new beginning
the dawn of an era new
all that we’ve ever dreamed for

[chorus]
this world is coming to an end
this world is going to die
we are all responsible
this world is coming to an end
this world is going to die!
we are all responsible!

[chorus]
this world is coming to an end
this world is going to die!
we are all responsible!
this world is coming to an end
this world is going to die!
we are all responsible!"
kurt vile,"3 contributorsfreeway lyricsi got a freeway in mind, let go of my head
walk down my line, better be sure you'll be dead
i got a trumpet, i know where to dump it
i'm glad that you came if the sound is the same

sometimes my reckless ways shock my self system for days
now i'm channelling my faze in an anacin haze
but it ain't gonna do me in, i know when to dump it
a hole in my way again, i'll surely just jump it

there was a kid in a tree among the birds and the bees
between beehive and bird nest and i think you know the rest
he wanted to be free with them, but they weren't believing
pecking and stinging him till he wasn't breathing
but it ain't gonna do him in, he'll just go to heaven
not done just a dreamer of ten or eleven

i've got a freeway in mind, let go of my head
walk down my line, better be sure you'll be dead
i got a trumpet, i know where to dump it"
awol,"5 contributorsintro (high class street music) lyricshold up
hold up
hold up
yeah
welcome, everybody, to the new dolph show
mhmm
know what i'm saying?
they waiting on it
back again
know what i’m talking 'bout?
it's nothing
high class street music
by your’s truely
young dolph
hosted by dj holliday
know what i'm talking 'bout?
had to give it to them, man
know what i'm saying?
why wouldn't i, man?
they want it
everybody ask me, dolph, when it's coming? when it's coming? when it's coming?
that shit stupid
we need some more, we need some more
we want some more
i’m back
know what i’m saying?
gotta feed the streets, pimp
know what i'm talking ’bout?
high class street music, man
know what i'm saying?
these niggas rapping that faireytale ass shit
but i ain't got none to do with that
know what i'm saying?
high class street nigga over here, man
yeah
know what i’m talking 'bout?
so check this out
know what i'm saying?
extra ignent everythin over hеre
know what the fuck going on over thеre
know what i'm saying?
nothing but bad bitches in my atmosphere
i don't see no lil niggas, no peewees, no fuck niggas
it's all about this money
know what i'm talking 'bout?
we doing high class shit right now"
alec k. redfearn & the eyesores,"1 contributorcandy-ass lyricsin my candied mind
honored shrines
scattered all around your clothen feet
silver tides and ruined mines
all protruding from the movie scenes

man, it's raining west in my lands today
and this town is turning pearly white
it's a candy ass little bullshit scene
will we find solace in
in it's precedence

phantasms in a horror show
where you shed your skin and all my bones
under skies of swarming flies
crawling in the heavily breathing phones

man, it's pouring pills, needles, dice and glass
and temptations seep through the walls
in this little town is pure candy ass
but it's got the flavor of sin we prefer
yeah it's got the flavor of skin that's
predisposed and taken home
predisposed and taken home
predisposed and taken home
predisposed and taken home
predisposed and taken home
predisposed and taken home
predisposed and taken home
predispo-oh-oh-oh-oh-osed
predispo-oh-oh-oh-oh-osed"
ariel pink's haunted graffiti,"6 contributorsgopacapulco lyrics[verse 1]
why don't you go out with my girl?
'cause when she says the time, i cry
won't let you ever fall apart, girl
'cause when you fall apart, my heart
whoever it may concern
well i love you when you feel it though

[pre-chorus 1]
she won't call me, she won't call me
stuck in a game like an idiot wrapped in chains
she tells me a place that i couldn't anticipate

[chorus]
gopacapulco
let us know you like it when we go, yeah
gopacapulco
there we twist inside you, gopaculpo, ah
gopacapulco

[verse 2]
jesse, when she moved up last year
never gave so many words, oh no
tell me what you see in my eyes
please don't love me 'cause i'm telling lies
don't let me let you go
well i love it when you tease me girl


[pre-chorus 2]
baby, oh baby
baby, don't go 'cause i love you so
so give me your arms and don't ever let me go

[chorus]
gopacapulco
let us you know like it when we go, hey
gopacapulco
there we twist inside you, gopaculpo, hey
gopacapulco"
ariel pink's haunted graffiti,"4 contributorsjules lost his jewels lyrics[intro]
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
alright, alright

[verse 1]
i named him jules, he stole my baby
then he stole my heart
i knew that he was a tiger
right from the start
she plays rough with him
'cause he's her ragamuffin, oh yeah
she played hard but then he got harder
she kicked his head, that's when he got on her

[verse 2]
i said to jules, ""just 'cause you're a cat
don't mean you ain't a man""
""just 'cause you're a man don't mean
every pussy need a dad""
""can't have you cream on my girl
find another dealer to pawn off your pearls""


[chorus]
jules lost his jewels
when he came up pearls
they took his manhood
jules lost his jewels
when he turned eighteen
moved down to west hollywood
jules lost his jewels
when he came up pearls
they took his manhood
jules lost his jewels
when he came up pearls
they went to go back to west hollywood

[refrain]
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
alright, alright, c'mon

[verse 3]
jules made a mess on my baby's dress
late last night
pumpin' up n' down with every whimpering sound
well oh my!
she shook her knee and woke me up, said
""that sick little brat's got my leg in a hump"", well alright
i pulled on his socks, pinned him down on his back, said
""how does that feel?"" then he sprayed on my lap, no!


[chorus]
jules lost his jewels
when he came up pearls
they took his manhood
jules lost his jewels
when he turned eighteen
moved down to west hollywood
jules lost his jewels
when came up pearls
they took his manhood
jules lost his jewels
what'd he do, what'd he do?
moved down to west hollywood

[outro]
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
comme ci, comme ça
c'est la vie, c'est la vie
c'est la vie, c'est la vie (comme ci)"
ed askew,"2 contributorsbaby come home lyrics[instrumental intro]
[00:00- 00:35]

[chorus]
maybe i'll try another reason
maybe i'll lie or maybe i'll squeeze him
maybe i'll die or maybe..
i'll write him a poem

[chorus version 2]
maybe i'll wait for another season
maybe i'll cry or maybe i'll seize him
maybe i'll get drunk
and sing him a song

baby come home

[bridge]
when i am lonely
i think about it
but i can't cry
and so i'll shout it
i've got to shout it

[chorus version 3]
maybe i'm running away from here
maybe i'm dreaming or maybe i really care
maybe, you know this is like some movie i've seen before


but baby i'd like to see you at my door

[bridge]
whеn i'm alone
i'd like to see you
and in this song
i say i need you
i really need you

[chorus]
maybе i'll try another reason
maybe i'll lie or maybe i'll squeeze him
maybe i'll die or maybe i'll
write him a poem

baby come...

[instrumental solo / instrumental outro]
[2:40-3:22]"
